Player,FB active pages
Candy AI,https://www.facebook.com/AI.Fantasy01/# https://www.facebook.com/AI.Universe001/#  https://www.facebook.com/AI.Reality01/# https://www.facebook.com/people/Candy-for-me/61558931185573/#  https://www.facebook.com/AI.Haven01/#  https://www.facebook.com/people/Candy-AI/61557661711147/# 
GPT girlfriend,https://www.facebook.com/ggptonline/# https://www.facebook.com/people/Girl-Friend-GPT/61584724296613/# 
JoiAI,https://www.facebook.com/profile.php?id=61585313845273# https://www.facebook.com/people/JOI-fans/61583627727045/# 
BabeChat,https://www.facebook.com/people/babechatai/61579906274683/# 
Nastia AI,https://www.facebook.com/people/Nastia/61566376755580/#
Replika,https://www.facebook.com/people/AI-Tutor/61573544889045/# https://www.facebook.com/people/AI-Companion/61573387366037/#  https://www.facebook.com/myownreplika/# 
MySpicy AI,https://www.facebook.com/people/MySpicy-GF/61576136184763/#
Rubii,https://www.facebook.com/profile.php?id=61577637579866#
Botify,https://www.facebook.com/people/Botify-AI-app/61556028759639/#
couple.me,https://www.facebook.com/profile.php?id=61584245438068#
Girlfriendly.ai,https://www.facebook.com/profile.php?id=61575581819909#
Dialogue,https://www.facebook.com/profile.php?id=61578886276025# https://www.facebook.com/profile.php?id=100076248984135# 
Flamify,https://www.facebook.com/profile.php?id=61579516076962# https://www.facebook.com/profile.php?id=61583579834117# 